lender_name,program_type,min_loan_amount,max_loan_amount,min_credit_score,credit_tier_required,min_years_in_business,interest_rate_min,interest_rate_max,max_term_months,sba_guarantee_pct,eligible_business_types,requires_collateral,max_existing_debt_ratio,turnaround_days,special_requirements,last_updated
Midwest Business Finance,504 Loan,125000,5000000,680,Good,2,5.5,6.7,240,40,All,Yes,0.45,82,Owner must have 20%+ equity stake,2/2/2026
Liberty SBA Lending,SBA Express,25000,500000,650,Good,1,11.5,12.9,120,50,All,No,,10,Requires 10% owner injection,1/20/2026
Liberty SBA Lending,7(a) Small Loan,50000,250000,660,Good,1,10.7,12.6,120,85,Construction,Varies,0.5,24,Owner must have 20%+ equity stake,1/6/2026
Pinnacle Funding Corp,7(a) Standard,100000,2000000,700,Good,2,9.2,10.5,120,75,Construction,Yes,0.55,50,No recent bankruptcies (7 years),1/15/2026
Pinnacle Funding Corp,7(a) Small Loan,50000,350000,660,Good,1,10.5,12.2,120,85,Construction,No,0.55,26,,1/25/2026
Evergreen Business Capital,504 Loan,125000,5000000,680,Good,2,5.9,6.8,300,40,All,Yes,0.55,58,Cannot be used for refinancing,1/5/2026
Evergreen Business Capital,7(a) Small Loan,25000,350000,680,Good,1,9.9,11.5,84,85,Construction,No,0.45,15,Franchise must be SBA-approved,1/15/2026
Evergreen Business Capital,Community Advantage,10000,250000,600,Fair,1,12.3,14,84,85,Restaurant/Food Service,Varies,0.45,41,Must be in business at least 6 months before applying,1/17/2026
Evergreen Business Capital,7(a) Standard,150000,2000000,700,Good,3,9.6,10.7,180,75,All,Varies,0.45,39,Must demonstrate positive cash flow,1/1/2026
Atlas Financial Services,504 Loan,125000,5500000,680,Good,3,7.3,8,300,40,Professional Services,Yes,0.55,65,Must demonstrate positive cash flow,1/3/2026
Atlas Financial Services,SBA Express,10000,350000,680,Good,2,10.2,11.9,84,50,Healthcare,Varies,0.55,7,,1/25/2026
Keystone Community Bank,7(a) Small Loan,25000,350000,680,Good,1,10.9,12.9,120,85,Restaurant/Food Service,Varies,0.45,17,,1/14/2026
Keystone Community Bank,7(a) Standard,150000,3000000,680,Good,2,8.6,10.7,300,75,All,Varies,0.5,48,,1/27/2026
Keystone Community Bank,Community Advantage,25000,250000,640,Fair,2,10,12.9,120,85,Construction,No,0.4,23,Requires business plan for startups,2/6/2026
Keystone Community Bank,SBA Express,25000,500000,650,Good,2,10.6,12.4,120,50,Manufacturing,No,0.4,12,Franchise must be SBA-approved,1/22/2026
BlueRidge Lending Partners,7(a) Standard,100000,2000000,660,Good,3,10,12.5,120,75,All,Yes,0.45,55,,1/2/2026
BlueRidge Lending Partners,SBA Express,25000,500000,650,Good,2,11.7,13.2,120,50,All,No,,5,Owner must have 20%+ equity stake,1/29/2026
Gateway Commercial Finance,7(a) Standard,50000,5000000,700,Good,2,8.5,10,300,85,Healthcare,Yes,0.5,57,,1/16/2026
Gateway Commercial Finance,7(a) Small Loan,30000,250000,680,Good,1,9.6,10.6,84,85,All,Varies,,25,Real estate purchase only,1/24/2026
Gateway Commercial Finance,SBA Express,10000,500000,650,Good,2,11.7,13.4,120,50,All,Varies,0.55,10,Owner-occupied real estate only,1/25/2026
Gateway Commercial Finance,504 Loan,125000,5000000,700,Good,3,6.5,7.6,300,40,All,Yes,0.4,48,,1/28/2026
Sterling Business Lending,SBA Express,25000,500000,650,Good,1,12.1,13.4,84,50,All,Varies,0.45,12,Must demonstrate positive cash flow,2/8/2026
Sterling Business Lending,7(a) Small Loan,50000,250000,660,Good,2,9.4,11,84,85,All,No,0.55,23,Requires 10% owner injection,1/25/2026
Sterling Business Lending,Community Advantage,10000,350000,620,Fair,1,11.5,14.5,84,85,Construction,No,0.4,43,Requires business plan for startups,1/19/2026
Sterling Business Lending,7(a) Standard,50000,2000000,700,Good,2,10.1,11.9,120,75,Healthcare,Varies,0.5,57,Must be in business at least 6 months before applying,1/19/2026
Frontier Capital Group,7(a) Standard,150000,2000000,680,Good,3,8.5,9.6,120,85,Professional Services,Yes,0.4,45,Owner-occupied real estate only,1/1/2026
Frontier Capital Group,7(a) Small Loan,50000,250000,660,Good,1,9.5,11.4,84,85,All,Varies,0.5,21,,1/19/2026
Frontier Capital Group,SBA Express,25000,500000,650,Good,2,10.1,11.8,120,50,Restaurant/Food Service,Varies,0.45,14,Cannot be used for refinancing,1/1/2026
Frontier Capital Group,504 Loan,250000,5000000,680,Good,2,6,7.5,240,40,Healthcare,Yes,0.55,49,,1/26/2026
